operator,scenario,scenario_score,scenario_rank,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range
拉普兰德,commerce_led,43.567645278450364,38.0,36.0,49.0,40.4,5.029910535983716,13.0
贝洛内,commerce_led,41.92211460855529,39.0,34.0,42.0,38.2,2.863564212655271,8.0
缪尔赛思,commerce_led,41.045133538777606,40.0,38.0,46.0,41.4,2.9664793948382644,8.0
塑心,commerce_led,40.6545601291364,41.0,33.0,43.0,39.2,3.768288736283354,10.0
佩佩,commerce_led,39.232445520581116,42.0,31.0,45.0,40.0,5.3385391260156565,14.0
黍,commerce_led,39.00051361068311,43.0,31.0,50.0,43.2,7.563068160475615,19.0
娜斯提,commerce_led,36.83494753833737,44.0,28.0,49.0,41.6,7.956129712366435,21.0
缄默德克萨斯,commerce_led,35.142453591606134,45.0,39.0,54.0,46.2,5.449770637375485,15.0
缇缇,commerce_led,32.92171105730427,46.0,32.0,55.0,44.8,8.228000972289685,23.0
锏,commerce_led,32.62560532687651,47.0,44.0,47.0,46.4,1.3416407864998738,3.0
谬因,commerce_led,31.534301856335752,48.0,35.0,53.0,46.0,6.670832032063167,18.0
煌,commerce_led,30.98819612590799,49.0,44.0,57.0,50.4,4.669047011971501,13.0
铃兰,commerce_led,30.59322033898305,50.0,45.0,52.0,48.4,2.8809720581775866,7.0
诗怀雅,commerce_led,28.34897094430993,51.0,43.0,54.0,49.2,4.08656334834051,11.0
怒潮凛冬,commerce_led,28.06577885391445,52.0,42.0,52.0,49.8,4.381780460041329,10.0
余,commerce_led,27.179580306698952,53.0,47.0,56.0,52.6,3.3615472627943217,9.0
艾雅法拉,commerce_led,26.277996368038735,54.0,48.0,55.0,52.0,2.9154759474226504,7.0
夕,commerce_led,25.06431598062954,55.0,50.0,58.0,54.8,2.949576240750525,8.0
伊芙利特,commerce_led,21.533746973365616,56.0,52.0,58.0,55.2,2.2803508501982757,6.0
陈,commerce_led,19.01180387409201,57.0,56.0,59.0,57.6,1.1401754250991383,3.0
霍尔海雅,commerce_led,18.059170702179177,58.0,53.0,59.0,56.8,2.280350850198276,6.0
年,commerce_led,16.909049636803875,59.0,57.0,60.0,58.8,1.0954451150103326,3.0
夜莺,commerce_led,13.698547215496367,60.0,55.0,60.0,59.0,2.23606797749979,5.0
新约能天使,community_led,91.52471751412429,1.0,1.0,1.0,1.0,0.0,0.0
维什戴尔,community_led,90.65148305084746,2.0,2.0,2.0,2.0,0.0,0.0
凯尔希·思衡托,community_led,83.01129943502826,3.0,3.0,13.0,5.0,4.47213595499958,10.0
凛御银灰,community_led,80.95238095238095,4.0,3.0,7.0,4.6,1.51657508881031,4.0
棘刺,community_led,79.07838983050847,5.0,5.0,32.0,17.2,9.757048734120374,27.0
塞雷娅,community_led,77.38687953995156,6.0,6.0,10.0,6.8,1.7888543819998317,4.0
酒神,community_led,77.01937046004844,7.0,7.0,34.0,24.2,10.52140675005011,27.0
望,community_led,75.83777239709444,8.0,8.0,20.0,14.2,4.266145801540309,12.0
阿米娅,community_led,75.38135593220339,9.0,4.0,9.0,5.8,1.9235384061671346,5.0
凯尔希,community_led,75.23569915254238,10.0,10.0,30.0,19.2,7.259476565152615,20.0
结城理,community_led,74.80750605326877,11.0,11.0,23.0,16.8,4.266145801540309,12.0
焰狐龙梓兰,community_led,73.51896690879741,12.0,8.0,12.0,10.8,1.788854381999832,4.0
斩业星熊,community_led,73.31880548829702,13.0,13.0,29.0,21.8,6.058052492344384,16.0
玛恩纳,community_led,71.33512409200969,14.0,12.0,16.0,13.6,1.6733200530681511,4.0
死芒,community_led,68.9911218724778,15.0,15.0,30.0,24.6,5.941380311005179,15.0
逻各斯,community_led,67.18144673123487,16.0,15.0,18.0,16.6,1.341640786499874,3.0
赤刃明霄陈,community_led,65.33414043583535,17.0,8.0,17.0,11.2,4.086563348340509,9.0
浊心斯卡蒂,community_led,64.48887711864408,18.0,7.0,18.0,10.6,4.505552130427524,11.0
能天使,community_led,63.52640738498789,19.0,9.0,19.0,12.2,4.147288270665544,10.0
荒芜拉普兰德,community_led,63.49187853107344,20.0,19.0,28.0,21.6,3.6469165057620936,9.0
真言,community_led,63.408797417272005,21.0,21.0,32.0,28.6,4.505552130427524,11.0
予愿安洁莉娜,community_led,62.2905569007264,22.0,4.0,22.0,10.2,7.463243262818116,18.0
W,community_led,60.390625,23.0,22.0,24.0,23.0,0.7071067811865476,2.0
Mon3tr,community_led,59.26876513317191,24.0,24.0,26.0,25.2,0.8366600265340757,2.0
泥岩,community_led,57.704676150121074,25.0,25.0,27.0,25.8,0.8366600265340756,2.0
史尔特尔,community_led,54.774515738498785,26.0,4.0,26.0,14.0,8.031189202104505,22.0
银灰,community_led,54.02126210653754,27.0,27.0,41.0,34.0,5.0,14.0
娜斯提,community_led,53.947134786117836,28.0,28.0,49.0,41.6,7.956129712366435,21.0
重岳,community_led,53.92937853107345,29.0,28.0,31.0,29.6,1.1401754250991376,3.0
司霆惊蛰,community_led,53.92292171105731,30.0,30.0,41.0,36.4,3.9749213828703587,11.0
佩佩,community_led,53.38740920096853,31.0,31.0,45.0,40.0,5.3385391260156565,14.0
缇缇,community_led,52.647296206618236,32.0,32.0,55.0,44.8,8.228000972289685,23.0
塑心,community_led,51.97982243744956,33.0,33.0,43.0,39.2,3.768288736283354,10.0
贝洛内,community_led,50.09241323648104,34.0,34.0,42.0,38.2,2.863564212655271,8.0
谬因,community_led,47.334947538337374,35.0,35.0,53.0,46.0,6.670832032063167,18.0
令,community_led,46.3336107748184,36.0,11.0,36.0,21.8,9.311283477587825,25.0
维娜·维多利亚,community_led,45.235673930589186,37.0,9.0,37.0,22.4,10.382677881933928,28.0
纯烬艾雅法拉,community_led,41.1678773204197,38.0,10.0,38.0,24.2,10.305338422390601,28.0
德克萨斯,community_led,40.03102300242131,39.0,8.0,39.0,23.4,11.458621208504974,31.0
归溟幽灵鲨,community_led,39.08272800645682,40.0,21.0,40.0,32.0,6.9641941385920605,19.0
温蒂,community_led,37.40995762711865,41.0,34.0,41.0,36.0,2.9154759474226504,7.0
怒潮凛冬,community_led,36.55407586763519,42.0,42.0,52.0,49.8,4.381780460041329,10.0
诗怀雅,community_led,36.102451573849876,43.0,43.0,54.0,49.2,4.08656334834051,11.0
斯卡蒂,community_led,36.04986380145279,44.0,33.0,44.0,37.2,4.086563348340509,11.0
铃兰,community_led,35.57203389830509,45.0,45.0,52.0,48.4,2.8809720581775866,7.0
缪尔赛思,community_led,35.10196955430006,46.0,38.0,46.0,41.4,2.9664793948382644,8.0
锏,community_led,33.855175544794186,47.0,44.0,47.0,46.4,1.3416407864998738,3.0
艾雅法拉,community_led,31.973743946731233,48.0,48.0,55.0,52.0,2.9154759474226504,7.0
拉普兰德,community_led,30.89399213075061,49.0,36.0,49.0,40.4,5.029910535983716,13.0
黍,community_led,30.359070935342125,50.0,31.0,50.0,43.2,7.563068160475615,19.0
