bvid,title,owner_mid,published_at,view,like,coin,favorite,share,reply,danmaku,content_type,source_url,collected_at,source_type,is_simulated
BV1LC4y1W7TS,《明日方舟》一周年庆典starset乐队歌曲献唱,161775300,2020-04-26T10:48:03+00:00,2670627,174689,100426,81139,17516,8545,20586,other_official,https://www.bilibili.com/video/BV1LC4y1W7TS,2026-09-11T22:17:56+00:00,official_public_aggregate,False
BV1cP411K7C6,《明日方舟：黎明前奏》主线动画正式pv,161775300,2022-10-23T13:10:29+00:00,706117,64136,18562,9887,7766,2620,1492,animation_brand,https://www.bilibili.com/video/BV1cP411K7C6,2026-09-11T22:17:57+00:00,official_public_aggregate,False
BV1Ap4y1b7UC,《明日方舟》游戏概念宣传PV-3,161775300,2021-04-25T02:00:04+00:00,4890267,227442,170737,93394,42369,17720,10872,other_pv,https://www.bilibili.com/video/BV1Ap4y1b7UC,2026-09-11T22:18:11+00:00,official_public_aggregate,False
BV1vT4y1R7D8,《明日方舟》SideStory「长夜临光」活动先导PV,161775300,2021-10-24T12:40:19+00:00,4338472,171957,103260,66007,68354,15211,19019,event_pv,https://www.bilibili.com/video/BV1vT4y1R7D8,2026-09-11T22:18:11+00:00,official_public_aggregate,False
BV1jL4y1V79g,主线动画《明日方舟：黎明前奏》先导PV,161775300,2022-04-23T12:55:19+00:00,1160799,100865,27284,15723,9729,4378,1256,animation_brand,https://www.bilibili.com/video/BV1jL4y1V79g,2026-09-11T22:17:57+00:00,official_public_aggregate,False
BV14G411b7VF,《明日方舟》危机合约新赛季「尘环行动」宣传PV,161775300,2022-08-20T03:00:00+00:00,2612313,155149,38770,23096,41386,12286,7610,gameplay_system,https://www.bilibili.com/video/BV14G411b7VF,2026-09-11T22:18:11+00:00,official_public_aggregate,False
BV1P34y1N7GH,主线动画《明日方舟：冬隐归路》定档PV,161775300,2023-09-20T08:00:00+00:00,834508,91400,25538,12089,16223,2976,2098,animation_brand,https://www.bilibili.com/video/BV1P34y1N7GH,2026-09-11T22:17:57+00:00,official_public_aggregate,False
BV1Xg411X7KU,《明日方舟》SideStory「尘影余音」活动宣传PV,161775300,2022-06-02T03:00:34+00:00,2844263,132149,43005,19813,30073,17400,12722,event_pv,https://www.bilibili.com/video/BV1Xg411X7KU,2026-09-11T22:18:17+00:00,official_public_aggregate,False
BV1xu4y1d79V,《明日方舟》EP - Before Summer,161775300,2023-06-08T09:00:00+00:00,1949712,176974,75807,64052,16935,6616,6433,music_ep,https://www.bilibili.com/video/BV1xu4y1d79V,2026-09-11T22:18:37+00:00,official_public_aggregate,False
BV1rtLRz2Evr,主线动画《明日方舟：焰烬曙明》定档PV,161775300,2025-04-26T13:10:00+00:00,524239,41612,8539,6447,4622,1611,776,animation_brand,https://www.bilibili.com/video/BV1rtLRz2Evr,2026-09-11T22:18:48+00:00,official_public_aggregate,False
